,llama_random2_accuracy_full.json,mixtral_thematic_top_to_bottom_accuracy_full.json,mixtral_thematic_bottom_to_top_accuracy_full.json,llama_random5_accuracy_full.json,qwen_deepseek_solutions_accuracy_full.json,qwen_random2_accuracy_full.json,qwen_zero_shot_chain_of_thought_accuracy_full.json,mixtral_advanced_accuracy_full.json,mixtral_semantic_random3_accuracy_full.json,qwen_advanced_accuracy_full.json,mixtral_random3_accuracy_full.json,mixtral_semantic_random2_accuracy_full.json,qwen_deepseek_long_types_accuracy_full.json,llama_random4_accuracy_full.json,qwen_semantic_random1_accuracy_full.json,mixtral_semantic_random5_accuracy_full.json,mixtral_semantic_bottom_to_top_accuracy_full.json,llama_thematic_top_to_bottom_accuracy_full.json,llama_advanced_accuracy_full.json,llama_semantic_random5_accuracy_full.json,qwen_random3_accuracy_full.json,mixtral_random5_accuracy_full.json,qwen_thematic_random5_accuracy_full.json,qwen_semantic_random3_accuracy_full.json,mixtral_random2_accuracy_full.json,mixtral_thematic_random1_accuracy_full.json,mixtral_thematic_random3_accuracy_full.json,qwen_thematic_random4_accuracy_full.json,qwen_semantic_random4_accuracy_full.json,qwen_base_accuracy_full.json,mixtral_base_accuracy_full.json,qwen_semantic_random5_accuracy_full.json,llama_deepseek_long_types_accuracy_full.json,qwen_semantic_random2_accuracy_full.json,llama_random3_accuracy_full.json,mixtral_deepseek_long_types_accuracy_full.json,mixtral_zero_shot_chain_of_thought_accuracy_full.json,qwen_random5_accuracy_full.json,mixtral_random1_accuracy_full.json,llama_thematic_random3_accuracy_full.json,llama_thematic_random2_accuracy_full.json,qwen_semantic_bottom_to_top_accuracy_full.json,qwen_thematic_random1_accuracy_full.json,llama_deepseek_solutions_accuracy_full.json,mixtral_thematic_random5_accuracy_full.json,qwen_thematic_bottom_to_top_accuracy_full.json,mixtral_deepseek_short_types_accuracy_full.json,qwen_thematic_random3_accuracy_full.json,llama_base_accuracy_full.json,mixtral_random4_accuracy_full.json,qwen_random1_accuracy_full.json,llama_semantic_random3_accuracy_full.json,mixtral_deepseek_solutions_accuracy_full.json,llama_deepseek_short_types_proper_prompt_accuracy_full.json,llama_thematic_random5_accuracy_full.json,qwen_random4_accuracy_full.json,llama_semantic_random4_accuracy_full.json,qwen_semantic_top_to_bottom_accuracy_full.json,mixtral_semantic_random4_accuracy_full.json,qwen_deepseek_short_types_proper_prompt_accuracy_full.json,llama_semantic_random2_accuracy_full.json,qwen_deepseek_advanced_max_tokens_1024_accuracy_full.json,llama_semantic_bottom_to_top_accuracy_full.json,mixtral_thematic_random4_accuracy_full.json,llama_thematic_bottom_to_top_accuracy_full.json,llama_deepseek_advanced_accuracy_full.json,qwen_thematic_random2_accuracy_full.json,llama_thematic_random4_accuracy_full.json,mixtral_semantic_random1_accuracy_full.json,qwen_thematic_top_to_bottom_accuracy_full.json,llama_semantic_random1_accuracy_full.json,mixtral_semantic_top_to_bottom_accuracy_full.json,mixtral_thematic_random2_accuracy_full.json,llama_zero_shot_chain_of_thought_accuracy_full.json,mixtral_deepseek_advanced_accuracy_full.json,llama_semantic_top_to_bottom_accuracy_full.json,llama_random1_accuracy_full.json,llama_thematic_random1_accuracy_full.json
10,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,0,0.0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0.0,1,0.0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0.0,1,1,1
11,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1.0,0,0,1,1,1,1,1,1,1,0.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1.0,1,0.0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1.0,0,0,1
12,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0.0,0,0,1,0,1,1,1,1,0,0.0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0.0,1,1.0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1.0,0,0,0
13,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0.0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1.0,0,0,0
14,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.0,0,0,0,1,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0.0,1,1.0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0.0,0,1,1
15,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.0,0,1,1,1,1,1,1,1,0,0.0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1.0,1,0,1
16,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1.0,1,0,1,1,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0.0,1,1.0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1.0,1,0,0
17,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1.0,1,1,1
18,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1.0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.0,1,0,0
19,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.0,0,1,1,1,0,0,0,1,0,0.0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0.0,1,0.0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1.0,1,1,0
20,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,1,0,1,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1.0,1,0,1
21,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0.0,0,1,1,1,1,0,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0.0,1,1.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0.0,1,1,1
22,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0.0,0,1,1,1,1,1,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1.0,1,1,1
23,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.0,0,1,0,1,1,0,1,1,1,0.0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0,1,1.0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0.0,1,0,1
24,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0.0,0,1,0,1,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0.0,1,0.0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0.0,1,0,0
25,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1.0,1,1,1,1,1,0,1,1,1,0.0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0.0,1,1,1
26,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,0.0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,1,1,1
27,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0.0,0,1,1,1,1,1,1,1,0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,1,1,1
28,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,1,1,1,1,0,1,0,0,0.0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1.0,1,0.0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0.0,1,1,1
29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
30,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0.0,0,1,1,1,1,1,1,1,0,0.0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0.0,1,1,1
31,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0.0,1,0.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1.0,0,0,0
32,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0,1,1,1,1,0,1,1,0,0.0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0,1,0.0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,1,0,0
33,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0.0,0,1,0,1,0,1,1,1,0,0.0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0.0,1,1.0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1.0,1,0,1
34,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1,0,0
35,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0.0,0,1,1,1,1,0,1,1,0,0.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.0,1,1.0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1.0,1,1,1
36,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0.0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1.0,0,0,0
37,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1.0,1,0,0,0,1,1,1,1,0,0.0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0.0,1,1.0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1.0,0,0,0
38,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0.0,1,1.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0,0,0
39,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0
40,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0.0,0,1,0,1,1,0,1,1,1,0.0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0.0,0,0.0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0.0,1,0,1
41,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0.0,0,1,0,0,0,0,1,0,0,1.0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1.0,1,0.0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1.0,1,1,1
42,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,1,1,0,1,1,1,1,1,0.0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1.0,1,0,1
43,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0.0,1,0.0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1.0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0
45,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0
46,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,0.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0,0,0
47,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.0,0,1,1,1,1,0,1,1,0,0.0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0.0,1,0.0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1.0,1,0,1
48,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0.0,0,1,1,1,1,0,1,1,1,0.0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0.0,1,1.0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1.0,1,0,1
49,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,1,1,1,1,1,1,1,0,0.0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.0,1,1.0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1.0,1,0,1
50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.0,0,0.0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0.0,1,0,0
51,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.0,0,1,1,1,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,1,1,1
52,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1.0,0,1,1,1,1,1,1,1,1,0.0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0.0,1,0.0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1.0,1,1,1
53,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1.0,0,1,0,1,1,0,1,1,0,0.0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0.0,1,0.0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1.0,1,0,1
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,1,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
55,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0.0,0,1,1,1,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0.0,1,0,1
56,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0.0,1,0.0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1.0,1,0,0
57,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0.0,0,1,1,1,1,0,1,1,1,0.0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0.0,1,1.0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,1,1,1
58,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0.0,0,0,0,0,1,0,1,1,1,0.0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0.0,1,1.0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0,0,0
59,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0.0,0,1,1,1,1,1,1,1,1,0.0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1.0,1,1,1
60,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,1
61,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0.0,0,1,0,1,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0.0,1,0.0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0.0,0,0,1
62,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.0,0,0,0,0,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0.0,1,1.0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1.0,0,1,0
63,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1.0,1,0,0,0,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0.0,1,1.0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1.0,0,0,0
